"","Year","Area","Street","Street.2"
"1339",2011,"Birmingham"," The̴Parade,̴Sutton̴Coldfield"," The Parade, Sutton Coldfield"
"1340",2011,"Birmingham"," The̴Ramp,̴Corporation̴St,̴Birmingham"," The Ramp, Corporation St, Birmingham"
"1341",2011,"Birmingham","The̴Ramp.","The Ramp."
"1342",2011,"Birmingham"," Thornhill̴Road,̴Birmingham"," Thornhill Road, Birmingham"
"1343",2011,"Birmingham"," Thornhill̴Road,̴Handsworth"," Thornhill Road, Handsworth"
"1344",2011,"Birmingham","Thorpe̴St̴at̴Hurst̴St","Thorpe St at Hurst St"
"1345",2011,"Birmingham","Thorpe̴Street","Thorpe Street"
"1346",2011,"Birmingham","Trocadero̴Public̴house̴o/s","Trocadero Public house o/s"
"1347",2011,"Birmingham"," Turners̴Pallets,̴Hayhole̴road"," Turners Pallets, Hayhole road"
"1348",2011,"Birmingham","upper̴dean̴street","upper dean street"
"1349",2011,"Birmingham"," Upper̴Dean̴Street,̴Birmingham"," Upper Dean Street, Birmingham"
"1350",2011,"Birmingham"," Upper̴Dean̴Street,̴Birmingham̴City̴Centre"," Upper Dean Street, Birmingham City Centre"
"1351",2011,"Birmingham"," Upper̴Dean̴Street,̴City̴Centre"," Upper Dean Street, City Centre"
"1352",2011,"Birmingham","Upper̴parade̴Sutton̴Coldfield","Upper parade Sutton Coldfield"
"1353",2011,"Birmingham","Upper̴Parade̴Sutton̴Coldfield","Upper Parade Sutton Coldfield"
"1354",2011,"Birmingham"," victoria̴square,̴̴bham"," victoria square,  bham"
"1355",2011,"Birmingham"," Victoria̴Square,̴City̴Centre."," Victoria Square, City Centre."
"1356",2011,"Birmingham"," Waiverley̴park,Handsworth"," Waiverley park,Handsworth"
"1357",2011,"Birmingham","walkabout̴bar̴broad̴st","walkabout bar broad st"
"1358",2011,"Birmingham"," Walkabout̴PH,̴Broad̴St,̴Birmingham"," Walkabout PH, Broad St, Birmingham"
"1359",2011,"Birmingham"," Walkabout̴PH,̴Broad̴Street,̴Birmingham"," Walkabout PH, Broad Street, Birmingham"
"1360",2011,"Birmingham"," Walkabout,̴Broad̴Street"," Walkabout, Broad Street"
"1361",2011,"Birmingham"," Walsall̴road,̴̴great̴barr"," Walsall road,  great barr"
"1362",2011,"Birmingham"," Walsall̴Road,̴Perry̴Barr"," Walsall Road, Perry Barr"
"1363",2011,"Birmingham","warf̴road̴kings̴norton","warf road kings norton"
"1364",2011,"Birmingham","Warwards̴Lane","Warwards Lane"
"1365",2011,"Birmingham"," Washington̴Drive,̴Handsworth̴Wood"," Washington Drive, Handsworth Wood"
"1366",2011,"Birmingham","Washington̴Street","Washington Street"
"1367",2011,"Birmingham"," Waterloo̴Road,̴Smethwick"," Waterloo Road, Smethwick"
"1368",2011,"Birmingham"," Waverhill̴Park,̴Handsworth"," Waverhill Park, Handsworth"
"1369",2011,"Birmingham"," Waverhill̴Road,̴Handsworth"," Waverhill Road, Handsworth"
"1370",2011,"Birmingham","way̴entrance̴villa̴ground","way entrance villa ground"
"1371",2011,"Birmingham","Wellington̴Road","Wellington Road"
"1372",2011,"Birmingham","Witton̴Arms","Witton Arms"
"1373",2011,"Birmingham","Witton̴Road","Witton Road"
"1374",2011,"Birmingham","Witton̴Road","Witton Road"
"1375",2011,"Birmingham","Witton̴Road̴Aston","Witton Road Aston"
"1376",2011,"Birmingham","Wrottesley̴Street","Wrottesley Street"
"1377",2011,"Coventry","primrose̴hill̴Coventry","primrose hill Coventry"
"1378",2011,"Coventry","Albany̴road","Albany road"
"1379",2011,"Coventry","Aldbourne̴Road","Aldbourne Road"
"1380",2011,"Coventry","aldermans̴green̴road","aldermans green road"
"1381",2011,"Coventry","Allesley̴Old̴Road","Allesley Old Road"
"1382",2011,"Coventry","Almond̴Tree̴Avenue","Almond Tree Avenue"
"1383",2011,"Coventry","arbury̴ave̴Coventry","arbury ave Coventry"
"1384",2011,"Coventry","Arena̴carpark̴A444","Arena carpark A444"
"1385",2011,"Coventry","argyle̴st̴Coventry","argyle st Coventry"
"1386",2011,"Coventry","Armstrong̴Avenue̴Stoke","Armstrong Avenue Stoke"
"1387",2011,"Coventry","Ashorne̴Close","Ashorne Close"
"1388",2011,"Coventry","Attoxhall̴Rd","Attoxhall Rd"
"1389",2011,"Coventry"," averley̴road̴,̴daimler̴green"," averley road , daimler green"
"1390",2011,"Coventry","Awson̴Street","Awson Street"
"1391",2011,"Coventry"," Bandals̴Surgery,̴Foleshill̴Road"," Bandals Surgery, Foleshill Road"
"1392",2011,"Coventry","bell̴green̴rd̴Junction̴A444","bell green rd Junction A444"
"1393",2011,"Coventry"," Bell̴Green̴Road,̴Coventry"," Bell Green Road, Coventry"
"1394",2011,"Coventry"," Bell̴Green̴Road,̴Coventry"," Bell Green Road, Coventry"
"1395",2011,"Coventry","Binley̴Road","Binley Road"
"1396",2011,"Coventry","Binley̴Road","Binley Road"
"1397",2011,"Coventry","Binley̴Road","Binley Road"
"1398",2011,"Coventry","Binley̴Road","Binley Road"
"1399",2011,"Coventry","bishop̴street","bishop street"
"1400",2011,"Coventry","Blackhorse̴lane","Blackhorse lane"
"1401",2011,"Coventry","Blythe̴Road","Blythe Road"
"1402",2011,"Coventry","BP̴Garage̴Ansty̴road","BP Garage Ansty road"
"1403",2011,"Coventry","bramble̴st̴coventry","bramble st coventry"
"1404",2011,"Coventry"," Braod̴Park̴Road,̴Coventry"," Braod Park Road, Coventry"
"1405",2011,"Coventry"," Bredon̴Ave,̴Coventry"," Bredon Ave, Coventry"
"1406",2011,"Coventry","Broadgate","Broadgate"
"1407",2011,"Coventry","Bull̴Yard","Bull Yard"
"1408",2011,"Coventry","Bushberry̴Avenue","Bushberry Avenue"
"1409",2011,"Coventry","butts̴road̴Coventry","butts road Coventry"
"1410",2011,"Coventry","cashs̴lane","cashs lane"
"1411",2011,"Coventry","Cauldon̴road","Cauldon road"
"1412",2011,"Coventry","Charter̴Ave","Charter Ave"
"1413",2011,"Coventry","charter̴ave̴Coventry","charter ave Coventry"
"1414",2011,"Coventry","Chester̴Street","Chester Street"
"1415",2011,"Coventry","Chesterton̴Road","Chesterton Road"
"1416",2011,"Coventry"," Cheveral̴Ave,̴Coventry"," Cheveral Ave, Coventry"
"1417",2011,"Coventry","Cliffbridge̴Road","Cliffbridge Road"
"1418",2011,"Coventry"," Clifton̴St̴,Coventry."," Clifton St ,Coventry."
"1419",2011,"Coventry","Coc̴street","Coc street"
"1420",2011,"Coventry"," Communal̴landing̴at̴George̴Poole̴House,̴Coventry"," Communal landing at George Poole House, Coventry"
"1421",2011,"Coventry","Compton̴road","Compton road"
"1422",2011,"Coventry","concourse̴near̴mortimers","concourse near mortimers"
"1423",2011,"Coventry","cook̴st","cook st"
"1424",2011,"Coventry","Corporation̴St","Corporation St"
"1425",2011,"Coventry"," Corporation̴St̴,Coventry."," Corporation St ,Coventry."
"1426",2011,"Coventry","Corporation̴Street","Corporation Street"
"1427",2011,"Coventry","Coundon̴road","Coundon road"
"1428",2011,"Coventry","coventry","coventry"
"1429",2011,"Coventry","Coventry̴Central̴cells","Coventry Central cells"
"1430",2011,"Coventry","Coventry̴Central̴Front̴office","Coventry Central Front office"
"1431",2011,"Coventry","coventry̴central̴pol̴stn","coventry central pol stn"
"1432",2011,"Coventry","coventry̴central̴police̴station","coventry central police station"
"1433",2011,"Coventry","coventry̴central̴police̴station","coventry central police station"
"1434",2011,"Coventry","Coventry̴Central̴PS","Coventry Central PS"
"1435",2011,"Coventry","Coventry̴Central̴PS","Coventry Central PS"
"1436",2011,"Coventry","Coventry̴Railwat̴Station.","Coventry Railwat Station."
"1437",2011,"Coventry","Coventry̴Railway̴Station.","Coventry Railway Station."
"1438",2011,"Coventry","coventry̴train̴station","coventry train station"
"1439",2011,"Coventry","Cox̴street","Cox street"
"1440",2011,"Coventry","Cross̴Road","Cross Road"
"1441",2011,"Coventry","devonshire̴arms","devonshire arms"
"1442",2011,"Coventry","duckham̴court","duckham court"
"1443",2011,"Coventry","Earlsdon̴High̴Street","Earlsdon High Street"
"1444",2011,"Coventry"," Elms̴Pub,̴Birmingham̴road"," Elms Pub, Birmingham road"
"1445",2011,"Coventry","fairfax̴street","fairfax street"
"1446",2011,"Coventry","far̴gosford̴street","far gosford street"
"1447",2011,"Coventry","Far̴Gosford̴Street","Far Gosford Street"
"1448",2011,"Coventry","Farndale̴Ave","Farndale Ave"
"1449",2011,"Coventry","Farndale̴Ave","Farndale Ave"
"1450",2011,"Coventry","Foleshill̴Rd","Foleshill Rd"
"1451",2011,"Coventry","Foleshill̴Road","Foleshill Road"
"1452",2011,"Coventry","Foleshill̴Road","Foleshill Road"
"1453",2011,"Coventry","Foleshill̴Road","Foleshill Road"
"1454",2011,"Coventry"," Foleshill̴road,̴Coventry"," Foleshill road, Coventry"
"1455",2011,"Coventry"," Four̴Pounds̴Ave,̴Coventry"," Four Pounds Ave, Coventry"
"1456",2011,"Coventry","FRiars̴road","FRiars road"
"1457",2011,"Coventry","front̴of̴Coventry̴Central̴police̴Station","front of Coventry Central police Station"
"1458",2011,"Coventry","Front̴office","Front office"
"1459",2011,"Coventry","Front̴Office","Front Office"
"1460",2011,"Coventry"," Gala̴Bingo,̴Pool̴Meadow"," Gala Bingo, Pool Meadow"
"1461",2011,"Coventry","Gosford̴Street","Gosford Street"
"1462",2011,"Coventry","Gosford̴street","Gosford street"
"1463",2011,"Coventry","Gosford̴Street","Gosford Street"
"1464",2011,"Coventry","greyfriars̴st̴Coventry","greyfriars st Coventry"
"1465",2011,"Coventry","gulson̴road̴Coventry","gulson road Coventry"
"1466",2011,"Coventry","Gulson̴Road̴Coventry","Gulson Road Coventry"
"1467",2011,"Coventry","hale̴st","hale st"
"1468",2011,"Coventry"," Hales̴Street,̴Coventry"," Hales Street, Coventry"
"1469",2011,"Coventry","Hartfrod̴street","Hartfrod street"
"1470",2011,"Coventry","hayle̴street","hayle street"
"1471",2011,"Coventry","hayles̴street","hayles street"
"1472",2011,"Coventry","Hedgefield̴Way","Hedgefield Way"
"1473",2011,"Coventry","herald̴way̴Coventry","herald way Coventry"
"1474",2011,"Coventry","high̴st̴Coventry","high st Coventry"
"1475",2011,"Coventry","High̴Street","High Street"
"1476",2011,"Coventry","High̴Street","High Street"
"1477",2011,"Coventry","Hill̴Street","Hill Street"
"1478",2011,"Coventry","Hipswell̴Highway","Hipswell Highway"
"1479",2011,"Coventry","holmesdale̴road","holmesdale road"
"1480",2011,"Coventry","hurst̴Road","hurst Road"
"1481",2011,"Coventry","ibis̴hotel","ibis hotel"
"1482",2011,"Coventry","Ikea̴Car̴Park","Ikea Car Park"
"1483",2011,"Coventry","ikea̴plaza","ikea plaza"
"1484",2011,"Coventry","iron̴monger̴row","iron monger row"
"1485",2011,"Coventry","jardine̴crescent","jardine crescent"
"1486",2011,"Coventry","jardine̴crescent","jardine crescent"
"1487",2011,"Coventry","Jasrdine̴Crescent","Jasrdine Crescent"
"1488",2011,"Coventry","JD̴Wetherspoon̴Earlsdon","JD Wetherspoon Earlsdon"
"1489",2011,"Coventry","Jordan̴Well","Jordan Well"
"1490",2011,"Coventry"," Jordan̴Well̴,̴Coventry"," Jordan Well , Coventry"
"1491",2011,"Coventry","Jubilee̴cresent","Jubilee cresent"
"1492",2011,"Coventry","Kirby̴Road","Kirby Road"
"1493",2011,"Coventry","Lady̴Lane","Lady Lane"
"1494",2011,"Coventry","Lambeth̴Close","Lambeth Close"
"1495",2011,"Coventry","Leader̴Close","Leader Close"
"1496",2011,"Coventry","Lidice̴Place","Lidice Place"
"1497",2011,"Coventry"," Lincoln̴Street̴,Coventry"," Lincoln Street ,Coventry"
"1498",2011,"Coventry","Littl̴Park̴Street","Littl Park Street"
"1499",2011,"Coventry"," Little̴park̴st̴,Coventry."," Little park st ,Coventry."
"1500",2011,"Coventry"," Little̴Park̴St̴,Coventry."," Little Park St ,Coventry."
"1501",2011,"Coventry","little̴park̴st̴Coventry","little park st Coventry"
"1502",2011,"Coventry","Little̴Park̴Street","Little Park Street"
"1503",2011,"Coventry","Little̴Park̴Street","Little Park Street"
"1504",2011,"Coventry","Little̴Park̴street","Little Park street"
"1505",2011,"Coventry","little̴park̴street","little park street"
"1506",2011,"Coventry","Little̴Park̴Street","Little Park Street"
"1507",2011,"Coventry","Little̴Park̴Street","Little Park Street"
"1508",2011,"Coventry","Little̴Park̴Street","Little Park Street"
"1509",2011,"Coventry","Little̴Park̴Street","Little Park Street"
"1510",2011,"Coventry","little̴park̴street","little park street"
"1511",2011,"Coventry","London̴Road","London Road"
"1512",2011,"Coventry","London̴Road","London Road"
"1513",2011,"Coventry","Longford̴Road","Longford Road"
"1514",2011,"Coventry","Lower̴Ford̴st","Lower Ford st"
"1515",2011,"Coventry","lower̴ford̴street","lower ford street"
"1516",2011,"Coventry","lower̴holyhead̴d̴jtn̴with̴spon̴st","lower holyhead d jtn with spon st"
"1517",2011,"Coventry","lower̴holyhead̴rd̴Coventry","lower holyhead rd Coventry"
"1518",2011,"Coventry","lower̴holyhead̴road̴Coventry","lower holyhead road Coventry"
"1519",2011,"Coventry","Lower̴Precinct̴Coventry","Lower Precinct Coventry"
"1520",2011,"Coventry","MAFO","MAFO"
"1521",2011,"Coventry","Manor̴house̴drive","Manor house drive"
"1522",2011,"Coventry","Market̴Way","Market Way"
"1523",2011,"Coventry","mary̴slessor̴st","mary slessor st"
"1524",2011,"Coventry","masser̴road","masser road"
"1525",2011,"Coventry"," McDonalds̴Restaurant̴A45̴,Coventry."," McDonalds Restaurant A45 ,Coventry."
"1526",2011,"Coventry"," Memorial̴Park,̴Coventry"," Memorial Park, Coventry"
"1527",2011,"Coventry","Middle̴Ride","Middle Ride"
"1528",2011,"Coventry","Mile̴Lane","Mile Lane"
"1529",2011,"Coventry","Mile̴lane","Mile lane"
"1530",2011,"Coventry","Millenium̴Place","Millenium Place"
"1531",2011,"Coventry","Millenium̴Place","Millenium Place"
"1532",2011,"Coventry"," Mint̴Casino,̴King̴William̴Street"," Mint Casino, King William Street"
"1533",2011,"Coventry","Miranda̴Close","Miranda Close"
"1534",2011,"Coventry","morris̴road","morris road"
"1535",2011,"Coventry","motor̴museum","motor museum"
"1536",2011,"Coventry","new̴union̴st","new union st"
"1537",2011,"Coventry","Norman̴place̴road","Norman place road"
"1538",2011,"Coventry","Northy̴Road","Northy Road"
"1539",2011,"Coventry","o/s̴CCFO","o/s CCFO"
"1540",2011,"Coventry","o/s̴coventry̴central̴police̴station","o/s coventry central police station"
"1541",2011,"Coventry","o/s̴Gosford̴Arms","o/s Gosford Arms"
"1542",2011,"Coventry","Oak̴Gosford̴Street","Oak Gosford Street"
"1543",2011,"Coventry","Outside̴Coventry̴Central̴PS","Outside Coventry Central PS"
"1544",2011,"Coventry","Outside̴Foleshill̴PS","Outside Foleshill PS"
"1545",2011,"Coventry","Outside̴front̴of̴Coventry̴Central̴Police̴Station.","Outside front of Coventry Central Police Station."
"1546",2011,"Coventry","Outside̴heat̴Bar","Outside heat Bar"
"1547",2011,"Coventry","outside̴kasbars","outside kasbars"
"1548",2011,"Coventry"," Outside̴of̴the̴Jewson̴Stand,̴Richo̴arena,̴Coventry"," Outside of the Jewson Stand, Richo arena, Coventry"
"1549",2011,"Coventry","owenford̴road","owenford road"
"1550",2011,"Coventry"," Palm̴Tree̴Ave,̴Wood̴End"," Palm Tree Ave, Wood End"
"1551",2011,"Coventry"," Palmer̴Lane̴,̴Coventry."," Palmer Lane , Coventry."
"1552",2011,"Coventry"," Palmer̴Lane̴,̴Coventry."," Palmer Lane , Coventry."
"1553",2011,"Coventry"," Palmer̴Lane̴,̴Coventry."," Palmer Lane , Coventry."
"1554",2011,"Coventry"," Penruddick̴Drive,̴Coventry"," Penruddick Drive, Coventry"
"1555",2011,"Coventry","Plymouth̴close","Plymouth close"
"1556",2011,"Coventry","pool̴meadow","pool meadow"
"1557",2011,"Coventry","Pool̴Meadow̴Bus̴Station","Pool Meadow Bus Station"
"1558",2011,"Coventry","pool̴meadow̴bus̴stn","pool meadow bus stn"
"1559",2011,"Coventry","Poolmeadow","Poolmeadow"
"1560",2011,"Coventry","Poolmeadow̴bus̴station","Poolmeadow bus station"
"1561",2011,"Coventry","Poolmeadow̴bus̴station","Poolmeadow bus station"
"1562",2011,"Coventry"," Poppy̴Court,̴Remembrance̴Road,̴Willenhall,̴Coventry"," Poppy Court, Remembrance Road, Willenhall, Coventry"
"1563",2011,"Coventry","Primrose̴Hill̴St","Primrose Hill St"
"1564",2011,"Coventry","Primrose̴Hill̴Street","Primrose Hill Street"
"1565",2011,"Coventry","Primrose̴Hill̴Street","Primrose Hill Street"
"1566",2011,"Coventry"," Primrose̴Hill̴Street̴,Coventry."," Primrose Hill Street ,Coventry."
"1567",2011,"Coventry","Princethorpe̴way","Princethorpe way"
"1568",2011,"Coventry"," Priory̴Fields,̴Coventry"," Priory Fields, Coventry"
"1569",2011,"Coventry","Priory̴Gardens","Priory Gardens"
"1570",2011,"Coventry","Priory̴Street","Priory Street"
"1571",2011,"Coventry","puma̴way","puma way"
"1572",2011,"Coventry"," Queen̴Mary's̴Road̴,Foleshill̴,Coventry."," Queen Mary's Road ,Foleshill ,Coventry."
"1573",2011,"Coventry","queen̴marys̴road̴Coventry","queen marys road Coventry"
"1574",2011,"Coventry","Queen̴Victoria̴Road","Queen Victoria Road"
"1575",2011,"Coventry","Radford̴Road","Radford Road"
"1576",2011,"Coventry","Radford̴road","Radford road"
"1577",2011,"Coventry","raglan̴street","raglan street"
"1578",2011,"Coventry","Red̴lane","Red lane"
"1579",2011,"Coventry","Remembrance̴Road","Remembrance Road"
"1580",2011,"Coventry","richo̴areana","richo areana"
"1581",2011,"Coventry","richo̴areana","richo areana"
"1582",2011,"Coventry"," Richo̴arena,̴Coventry"," Richo arena, Coventry"
"1583",2011,"Coventry","Ricoh̴Arena","Ricoh Arena"
"1584",2011,"Coventry","Ricoh̴Arena","Ricoh Arena"
"1585",2011,"Coventry","Ricoh̴Arena","Ricoh Arena"
"1586",2011,"Coventry"," Ridgethorpe,̴Willenhall,̴Coventry"," Ridgethorpe, Willenhall, Coventry"
"1587",2011,"Coventry"," Rileys̴Square,̴Bell̴Green"," Rileys Square, Bell Green"
"1588",2011,"Coventry","Ring̴Rd","Ring Rd"
"1589",2011,"Coventry","Riverwalk̴Walk̴Wood̴End","Riverwalk Walk Wood End"
"1590",2011,"Coventry"," Roland̴Avenue̴,Holbrooks̴,Coventry."," Roland Avenue ,Holbrooks ,Coventry."
"1591",2011,"Coventry","rotherhanm̴road","rotherhanm road"
"1592",2011,"Coventry"," Sainsburys̴,Trinity̴St̴,Coventry."," Sainsburys ,Trinity St ,Coventry."
"1593",2011,"Coventry","Scots̴Lane","Scots Lane"
"1594",2011,"Coventry","Sewall̴Highway","Sewall Highway"
"1595",2011,"Coventry","sewall̴highway","sewall highway"
"1596",2011,"Coventry","sewall̴highway̴Coventry","sewall highway Coventry"
"1597",2011,"Coventry"," Silver̴Street̴,Coventry."," Silver Street ,Coventry."
"1598",2011,"Coventry","Sky̴Blue̴Way","Sky Blue Way"
"1599",2011,"Coventry","sky̴dome","sky dome"
"1600",2011,"Coventry","sky̴dome","sky dome"
"1601",2011,"Coventry","sky̴dome","sky dome"
"1602",2011,"Coventry","sky̴dome","sky dome"
"1603",2011,"Coventry","sky̴dome","sky dome"
"1604",2011,"Coventry","sky̴dome","sky dome"
"1605",2011,"Coventry","Sky̴dome","Sky dome"
"1606",2011,"Coventry","Sky̴dome","Sky dome"
"1607",2011,"Coventry","Sky̴Dome̴Concourse","Sky Dome Concourse"
"1608",2011,"Coventry","Sky̴Dome̴Concourse","Sky Dome Concourse"
"1609",2011,"Coventry","Sky̴Dome̴Concourse","Sky Dome Concourse"
"1610",2011,"Coventry","sky̴dome̴concourse","sky dome concourse"
"1611",2011,"Coventry","sky̴dome̴concourse","sky dome concourse"
"1612",2011,"Coventry","sky̴dome̴concourse̴Covenmtry","sky dome concourse Covenmtry"
"1613",2011,"Coventry","sky̴dome̴concourse̴Coventry","sky dome concourse Coventry"
"1614",2011,"Coventry","Sky̴Dome̴concourse.","Sky Dome concourse."
"1615",2011,"Coventry"," Sky̴Dome,̴Coventry"," Sky Dome, Coventry"
"1616",2011,"Coventry"," Sky̴Dome,̴Coventry̴City̴centre"," Sky Dome, Coventry City centre"
"1617",2011,"Coventry","Sky̴Dome.","Sky Dome."
"1618",2011,"Coventry","sky̴dome.","sky dome."
"1619",2011,"Coventry","sky̴dome.","sky dome."
"1620",2011,"Coventry","Skydome","Skydome"
"1621",2011,"Coventry","Skydome","Skydome"
"1622",2011,"Coventry","skydome","skydome"
"1623",2011,"Coventry","Skydome","Skydome"
"1624",2011,"Coventry","Skydome","Skydome"
"1625",2011,"Coventry","Skydome","Skydome"
"1626",2011,"Coventry"," Skydome̴,̴Coventry."," Skydome , Coventry."
"1627",2011,"Coventry","Skydome̴Car̴Park","Skydome Car Park"
"1628",2011,"Coventry","Skydome̴Car̴Park","Skydome Car Park"
"1629",2011,"Coventry","Skydome̴complex","Skydome complex"
"1630",2011,"Coventry","Skydome̴Complex","Skydome Complex"
"1631",2011,"Coventry","skydome̴complex","skydome complex"
"1632",2011,"Coventry"," Skydome̴Complex,̴Coventry"," Skydome Complex, Coventry"
"1633",2011,"Coventry","Skydome̴concourse","Skydome concourse"
"1634",2011,"Coventry","Skydome̴concourse","Skydome concourse"
"1635",2011,"Coventry","Skydome̴concourse","Skydome concourse"
"1636",2011,"Coventry","Skydome̴Concourse","Skydome Concourse"
"1637",2011,"Coventry","Skydome̴Concourse","Skydome Concourse"
"1638",2011,"Coventry","Skydome̴Concourse","Skydome Concourse"
"1639",2011,"Coventry","Skydome̴concourse","Skydome concourse"
"1640",2011,"Coventry","Skydome̴concourse","Skydome concourse"
"1641",2011,"Coventry","skydome̴concourse","skydome concourse"
"1642",2011,"Coventry","Skydome̴concourse","Skydome concourse"
"1643",2011,"Coventry","Skydome̴concourse","Skydome concourse"
"1644",2011,"Coventry","Skydome̴concourse","Skydome concourse"
"1645",2011,"Coventry","Skydome̴Concourse","Skydome Concourse"
"1646",2011,"Coventry","Skydome̴Concourse","Skydome Concourse"
"1647",2011,"Coventry","Skydome̴concourse","Skydome concourse"
"1648",2011,"Coventry"," Skydome̴concourse̴,Coventry"," Skydome concourse ,Coventry"
"1649",2011,"Coventry","Skydome̴concourse...","Skydome concourse..."
"1650",2011,"Coventry","skydome̴Coventry","skydome Coventry"
"1651",2011,"Coventry","Skydome̴Coventry","Skydome Coventry"
"1652",2011,"Coventry","Skydome̴Coventry̴City̴Centre","Skydome Coventry City Centre"
"1653",2011,"Coventry"," SkyDome,̴Coventry"," SkyDome, Coventry"
"1654",2011,"Coventry"," Skydome,̴Coventry"," Skydome, Coventry"
"1655",2011,"Coventry","sorell̴Close","sorell Close"
"1656",2011,"Coventry"," Southbank̴Road̴,Coventry."," Southbank Road ,Coventry."
"1657",2011,"Coventry","spom̴st̴coventry","spom st coventry"
"1658",2011,"Coventry","Spon̴End","Spon End"
"1659",2011,"Coventry"," Spon̴End,̴Coventry"," Spon End, Coventry"
"1660",2011,"Coventry"," Spon̴St̴,Coventry"," Spon St ,Coventry"
"1661",2011,"Coventry"," Spon̴St̴,Coventry."," Spon St ,Coventry."
"1662",2011,"Coventry","SPON̴ST̴Coventry","SPON ST Coventry"
"1663",2011,"Coventry","spon̴st̴Coventry","spon st Coventry"
"1664",2011,"Coventry","spon̴st̴Coventry","spon st Coventry"
"1665",2011,"Coventry","spon̴st̴Coventry","spon st Coventry"
"1666",2011,"Coventry","spon̴st̴Coventry","spon st Coventry"
"1667",2011,"Coventry","spon̴st̴Coventry","spon st Coventry"
"1668",2011,"Coventry","spon̴st̴Coventry","spon st Coventry"
"1669",2011,"Coventry","Spon̴street","Spon street"
"1670",2011,"Coventry","Spon̴STreet","Spon STreet"
"1671",2011,"Coventry","Spon̴Street","Spon Street"
"1672",2011,"Coventry","spon̴street","spon street"
"1673",2011,"Coventry","spon̴street","spon street"
"1674",2011,"Coventry","Spon̴STreet","Spon STreet"
"1675",2011,"Coventry","St̴georges̴road","St georges road"
"1676",2011,"Coventry"," St̴Georges̴Road,̴Stoke"," St Georges Road, Stoke"
"1677",2011,"Coventry","St̴Lukes̴Road̴Coventry","St Lukes Road Coventry"
"1678",2011,"Coventry","Stonet̴Stanton̴Road̴Police̴Station","Stonet Stanton Road Police Station"
"1679",2011,"Coventry"," Stoney̴Stanton̴Road̴Police̴Station,̴Coventry"," Stoney Stanton Road Police Station, Coventry"
"1680",2011,"Coventry","Swanswell̴Park","Swanswell Park"
"1681",2011,"Coventry","Tachbrook̴Close","Tachbrook Close"
"1682",2011,"Coventry"," Tarquin̴Close,̴Coventry"," Tarquin Close, Coventry"
"1683",2011,"Coventry","Terry̴Road","Terry Road"
"1684",2011,"Coventry"," Terry̴Road,̴Coventry"," Terry Road, Coventry"
"1685",2011,"Coventry","The̴Bull̴Yard̴City̴Centre","The Bull Yard City Centre"
"1686",2011,"Coventry","The̴Bullyard","The Bullyard"
"1687",2011,"Coventry","The̴Burges","The Burges"
"1688",2011,"Coventry","The̴Burgess","The Burgess"
"1689",2011,"Coventry","The̴Burgess","The Burgess"
"1690",2011,"Coventry","the̴burgess","the burgess"
"1691",2011,"Coventry","the̴butts̴Coventry","the butts Coventry"
"1692",2011,"Coventry","The̴Butts̴Retreat̴PH","The Butts Retreat PH"
"1693",2011,"Coventry","The̴Croft̴Longford","The Croft Longford"
"1694",2011,"Coventry"," The̴Forum̴medical̴centre,̴Coventry"," The Forum medical centre, Coventry"
"1695",2011,"Coventry","Thimbler̴Road","Thimbler Road"
"1696",2011,"Coventry","tile̴hill̴lane̴coventry","tile hill lane coventry"
"1697",2011,"Coventry","Torrington̴Avenue","Torrington Avenue"
"1698",2011,"Coventry","Trinity̴point̴Link","Trinity point Link"
"1699",2011,"Coventry","trinity̴street","trinity street"
"1700",2011,"Coventry","trinity̴street","trinity street"
"1701",2011,"Coventry","Trinity̴Street","Trinity Street"
"1702",2011,"Coventry","trinity̴street̴city̴centre̴coventry","trinity street city centre coventry"
"1703",2011,"Coventry","University̴Hospital","University Hospital"
"1704",2011,"Coventry","University̴Hospital","University Hospital"
"1705",2011,"Coventry","University̴Hospital̴Coventry","University Hospital Coventry"
"1706",2011,"Coventry"," Unniversity̴of̴Warwick,̴Coventry"," Unniversity of Warwick, Coventry"
"1707",2011,"Coventry","upper̴spon̴st","upper spon st"
"1708",2011,"Coventry","Vine̴Street","Vine Street"
"1709",2011,"Coventry","Vine̴Street","Vine Street"
"1710",2011,"Coventry","Vinecote̴Road","Vinecote Road"
"1711",2011,"Coventry","Wallace̴Rd","Wallace Rd"
"1712",2011,"Coventry","Walsgrave̴hospital","Walsgrave hospital"
"1713",2011,"Coventry","Warwick̴Row","Warwick Row"
"1714",2011,"Coventry","Warwick̴university","Warwick university"
"1715",2011,"Coventry","West̴Orchard","West Orchard"
"1716",2011,"Coventry","West̴Orchards̴Circulatory̴Road","West Orchards Circulatory Road"
"1717",2011,"Coventry","White̴street","White street"
"1718",2011,"Coventry","willenhall̴lane̴coventry","willenhall lane coventry"
"1719",2011,"Coventry","Willenhall̴Police̴Station̴Front̴Office","Willenhall Police Station Front Office"
"1720",2011,"Coventry","Willenhall̴PS","Willenhall PS"
"1721",2011,"Coventry","Winnalthorpe","Winnalthorpe"
"1722",2011,"Coventry","wood̴way̴lane̴Coventry","wood way lane Coventry"
"1723",2011,"Coventry","Wroxall̴Drive","Wroxall Drive"
"1724",2011,"Coventry","Wroxhall̴Drive","Wroxhall Drive"
"1725",2011,"Dudley","albion̴street̴brierley̴hill","albion street brierley hill"
